ID_Registro,Data_Pedido,Numero_Pedido,Cliente,Cidade_Cliente,Estado,Vendedor,Produto,Categoria,Quantidade,Valor_Unitario,Valor_Total,Nota_Satisfacao,Comentario_Satisfacao,Forma_Pagamento,Observacao
173,2025-01-10,PED-1173,Loja Ferramentas BR,Araucária,PR,Carlos S.,Furad.,Medição,30,-3980.47,119414.1,10,Satisfeito,Boleto,
174,30-03-2025,PED-1174,Metalúrgica Sul,Londrina,PR,C. Silva,Parafusadeira ,Energia,2,-3371.34,6742.68,10,Satisfeito,PIX,
175,2025-06-18,PED-1175,Loja Ferramentas BR,Maringá,PR,C. Silva,Parafusadeira ,Ferramentas,7,-1043.35,7303.45,0,Insatisfeito,Boleto,
176,2025-02-20,PED-1176,Construtora Paraná,Araucária,PR,C. Silva,Soldadora,Medição,16,-2939.83,47037.28,6,Muito Satisfeito,PIX,
177,12/06/2025,PED-1177,Mercado Industrial,Ponta Grossa,PR,Carlos S.,Soldadora,Ferramentas,27,-4746.59,128157.93,10,Insatisfeito,Boleto,
178,15/04/2025,PED-1178,Loja Ferramentas BR,Cascavel,PR,C. Silva,Parafusadeira ,Medição,28,-3597.65,100734.2,6,Neutro,PIX,
179,02/04/2025,PED-1179,Indústria Alpha,Curitiba,PR,C. Silva,Furad.,Ferramentas,1,-1187.27,1187.27,6,Insatisfeito,PIX,
180,2025-05-30,PED-1180,Indústria Alpha,Curitiba,PR,C. Silva,Soldadora,Energia,18,-1490.98,26837.64,0,Satisfeito,Boleto,
181,20-01-2025,PED-1181,Construtora Paraná,Maringá,PR,Carlos S.,Furad.,Energia,23,-785.6,18068.8,6,Satisfeito,PIX,
182,28/06/2025,PED-1182,Indústria Alpha,Araucária,PR,Carlos S.,Soldadora,Medição,4,-4312.45,17249.8,10,Neutro,PIX,
183,10/06/2025,PED-1183,Oficina Curitiba,Curitiba,PR,Carlos S.,Furad.,Elétrica,7,-2937.19,20560.33,10,Neutro,PIX,
184,20/03/2025,PED-1184,Metalúrgica Sul,Maringá,PR,Carlos S.,Soldadora,Medição,10,-3855.35,38553.5,10,Muito Satisfeito,PIX,
185,2025-04-01,PED-1185,Construtora Paraná,Cascavel,PR,C. Silva,Parafusadeira ,Elétrica,4,-1512.71,6050.84,10,Insatisfeito,PIX,
186,20-06-2025,PED-1186,Oficina Curitiba,Londrina,PR,Carlos S.,Parafusadeira ,Soldagem,28,-3752.98,105083.44,10,Muito Satisfeito,Cartão,
187,03/05/2025,PED-1187,Metalúrgica Sul,Maringá,PR,Carlos S.,Parafusadeira ,Elétrica,10,-2945.18,29451.8,0,Insatisfeito,Boleto,
188,2025-03-29,PED-1188,Indústria Alpha,Maringá,PR,C. Silva,Furad.,Elétrica,16,-496.36,7941.76,10,Neutro,PIX,
189,20/03/2025,PED-1189,Indústria Alpha,Ponta Grossa,PR,C. Silva,Soldadora,Elétrica,2,-1806.69,3613.38,0,Neutro,Cartão,
190,2025-04-03,PED-1190,Metalúrgica Sul,Araucária,PR,C. Silva,Soldadora,Energia,3,-1217.67,3653.01,6,Insatisfeito,Boleto,
191,26-05-2025,PED-1191,Oficina Curitiba,Londrina,PR,C. Silva,Parafusadeira ,Elétrica,20,-4808.38,96167.6,10,Satisfeito,PIX,
192,2025-02-25,PED-1192,Cliente XPTO,Araucária,PR,Carlos S.,Soldadora,Ferramentas,25,-341.18,8529.5,0,Muito Satisfeito,PIX,
193,27-03-2025,PED-1193,Mercado Industrial,Curitiba,PR,Carlos S.,Soldadora,Ferramentas,24,-4164.46,99947.04,10,Insatisfeito,Boleto,
194,2025-03-18,PED-1194,Indústria Alpha,Curitiba,PR,C. Silva,Soldadora,Ferramentas,28,-624.99,17499.72,6,Satisfeito,PIX,
195,20-02-2025,PED-1195,Metalúrgica Sul,Araucária,PR,Carlos S.,Soldadora,Energia,7,-1736.87,12158.09,10,Muito Satisfeito,Boleto,
196,2025-06-04,PED-1196,Auto Center Prime,Londrina,PR,Carlos S.,Furad.,Soldagem,13,-1806.86,23489.18,10,Muito Satisfeito,Cartão,
197,13-06-2025,PED-1197,Construtora Paraná,Londrina,PR,Carlos S.,Soldadora,Energia,16,-1740.15,27842.4,6,Insatisfeito,PIX,
198,14-05-2025,PED-1198,Loja Ferramentas BR,Cascavel,PR,Carlos S.,Soldadora,Elétrica,15,-1549.46,23241.9,0,Neutro,Boleto,
199,21/01/2025,PED-1199,Auto Center Prime,Cascavel,PR,Carlos S.,Parafusadeira ,Ferramentas,1,-1013.61,1013.61,0,Insatisfeito,PIX,
200,18-05-2025,PED-1200,Metalúrgica Sul,Ponta Grossa,PR,Carlos S.,Furad.,Elétrica,1,-4336.28,4336.28,0,Muito Satisfeito,PIX,
201,2025-04-28,PED-1201,Cliente XPTO,Curitiba,PR,C. Silva,Furad.,Elétrica,29,-4468.98,129600.42,6,Satisfeito,Boleto,
202,05-02-2025,PED-1202,Oficina Curitiba,Ponta Grossa,PR,C. Silva,Furad.,Ferramentas,20,-1471.21,29424.2,0,Insatisfeito,Boleto,
203,2025-01-03,PED-1203,Cliente XPTO,Ponta Grossa,PR,C. Silva,Furad.,Soldagem,20,-358.29,7165.8,0,Satisfeito,PIX,
204,2025-01-17,PED-1204,Indústria Alpha,Londrina,PR,Carlos S.,Parafusadeira ,Ferramentas,18,-2608.82,46958.76,6,Muito Satisfeito,Cartão,
205,17/04/2025,PED-1205,Metalúrgica Sul,Araucária,PR,C. Silva,Soldadora,Ferramentas,23,-1140.39,26228.97,6,Neutro,Boleto,
206,07-04-2025,PED-1206,Oficina Curitiba,Ponta Grossa,PR,Carlos S.,Parafusadeira ,Elétrica,24,-1233.09,29594.16,0,Muito Satisfeito,PIX,
207,13/01/2025,PED-1207,Loja Ferramentas BR,Londrina,PR,C. Silva,Soldadora,Ferramentas,22,-3422.58,75296.76,6,Insatisfeito,Boleto,
208,05-03-2025,PED-1208,Cliente XPTO,Londrina,PR,Carlos S.,Furad.,Soldagem,6,-1454.7,8728.2,6,Insatisfeito,PIX,
209,07-05-2025,PED-1209,Construtora Paraná,Ponta Grossa,PR,C. Silva,Soldadora,Medição,21,-4203.99,88283.79,10,Muito Satisfeito,PIX,
210,03-04-2025,PED-1210,Indústria Alpha,Araucária,PR,Carlos S.,Soldadora,Energia,26,-4679.75,121673.5,0,Neutro,PIX,
211,11/05/2025,PED-1211,Construtora Paraná,Maringá,PR,Carlos S.,Parafusadeira ,Soldagem,20,-4983.06,99661.2,0,Neutro,Boleto,
212,31-05-2025,PED-1212,Loja Ferramentas BR,Curitiba,PR,Carlos S.,Furad.,Medição,11,-2345.11,25796.21,6,Insatisfeito,Cartão,
213,2025-05-02,PED-1213,Construtora Paraná,Londrina,PR,C. Silva,Soldadora,Ferramentas,25,-2218.57,55464.25,6,Neutro,Boleto,
214,30/05/2025,PED-1214,Cliente XPTO,Araucária,PR,Carlos S.,Parafusadeira ,Elétrica,25,-3377.13,84428.25,10,Insatisfeito,PIX,
215,19-01-2025,PED-1215,Auto Center Prime,Londrina,PR,Carlos S.,Soldadora,Ferramentas,15,-3015.67,45235.05,0,Neutro,PIX,
216,03/03/2025,PED-1216,Loja Ferramentas BR,Curitiba,PR,C. Silva,Parafusadeira ,Soldagem,8,-3512.68,28101.44,0,Neutro,Boleto,
217,22-06-2025,PED-1217,Auto Center Prime,Curitiba,PR,Carlos S.,Furad.,Elétrica,9,-481.6,4334.4,10,Neutro,Boleto,
218,2025-03-09,PED-1218,Indústria Alpha,Curitiba,PR,Carlos S.,Parafusadeira ,Ferramentas,20,-3112.81,62256.2,10,Insatisfeito,Boleto,
219,2025-04-03,PED-1219,Construtora Paraná,Londrina,PR,Carlos S.,Furad.,Energia,8,-3402.69,27221.52,0,Neutro,PIX,
220,2025-03-04,PED-1220,Construtora Paraná,Araucária,PR,C. Silva,Furad.,Soldagem,16,-2729.78,43676.48,6,Muito Satisfeito,Boleto,
221,2025-01-14,PED-1221,Metalúrgica Sul,Curitiba,PR,C. Silva,Furad.,Elétrica,5,-1041.07,5205.35,10,Insatisfeito,Boleto,
222,2025-05-12,PED-1222,Auto Center Prime,Curitiba,PR,C. Silva,Parafusadeira ,Energia,1,-1845.72,1845.72,6,Insatisfeito,Boleto,
223,22-01-2025,PED-1223,Auto Center Prime,Maringá,PR,Carlos S.,Soldadora,Soldagem,3,-3626.22,10878.66,0,Satisfeito,Cartão,
224,07/05/2025,PED-1224,Oficina Curitiba,Maringá,PR,C. Silva,Soldadora,Energia,10,-2718.74,27187.4,6,Neutro,PIX,
225,02-03-2025,PED-1225,Loja Ferramentas BR,Curitiba,PR,C. Silva,Parafusadeira ,Ferramentas,21,-4284.7,89978.7,0,Muito Satisfeito,PIX,
226,05/01/2025,PED-1226,Oficina Curitiba,Curitiba,PR,C. Silva,Parafusadeira ,Ferramentas,22,-500.54,11011.88,6,Satisfeito,Boleto,
227,21-05-2025,PED-1227,Loja Ferramentas BR,Cascavel,PR,Carlos S.,Furad.,Ferramentas,19,-4096.22,77828.18,6,Satisfeito,PIX,
228,2025-05-08,PED-1228,Oficina Curitiba,Araucária,PR,Carlos S.,Furad.,Ferramentas,25,-4710.4,117760.0,10,Muito Satisfeito,Cartão,
229,2025-05-11,PED-1229,Metalúrgica Sul,Curitiba,PR,C. Silva,Parafusadeira ,Elétrica,24,-1886.95,45286.8,6,Muito Satisfeito,Boleto,
230,2025-02-10,PED-1230,Mercado Industrial,Maringá,PR,C. Silva,Parafusadeira ,Elétrica,16,-3810.59,60969.44,0,Neutro,PIX,
231,23-04-2025,PED-1231,Indústria Alpha,Curitiba,PR,C. Silva,Parafusadeira ,Ferramentas,18,-1640.71,29532.78,10,Muito Satisfeito,Boleto,
232,08/01/2025,PED-1232,Oficina Curitiba,Londrina,PR,Carlos S.,Furad.,Medição,21,-4638.96,97418.16,10,Satisfeito,Cartão,
233,15-06-2025,PED-1233,Cliente XPTO,Araucária,PR,Carlos S.,Parafusadeira ,Ferramentas,23,-2584.39,59440.97,0,Satisfeito,Boleto,
234,2025-05-24,PED-1234,Metalúrgica Sul,Maringá,PR,C. Silva,Furad.,Elétrica,3,-610.32,1830.96,6,Neutro,Cartão,
235,13/01/2025,PED-1235,Auto Center Prime,Londrina,PR,Carlos S.,Soldadora,Soldagem,9,-4759.89,42839.01,6,Insatisfeito,Boleto,
236,14-02-2025,PED-1236,Oficina Curitiba,Maringá,PR,C. Silva,Soldadora,Elétrica,11,-4563.24,50195.64,0,Insatisfeito,Boleto,
237,16/02/2025,PED-1237,Mercado Industrial,Maringá,PR,Carlos S.,Parafusadeira ,Elétrica,29,-3310.0,95990.0,10,Neutro,Cartão,
238,23/04/2025,PED-1238,Mercado Industrial,Curitiba,PR,Carlos S.,Parafusadeira ,Energia,19,-1649.88,31347.72,0,Insatisfeito,Cartão,
239,27-06-2025,PED-1239,Indústria Alpha,Ponta Grossa,PR,Carlos S.,Furad.,Elétrica,1,-389.23,389.23,10,Neutro,PIX,
240,04-03-2025,PED-1240,Mercado Industrial,Ponta Grossa,PR,Carlos S.,Soldadora,Medição,28,-1226.86,34352.08,10,Muito Satisfeito,Boleto,
241,04-02-2025,PED-1241,Indústria Alpha,Cascavel,PR,C. Silva,Furad.,Elétrica,21,-4050.01,85050.21,0,Insatisfeito,Boleto,
242,20/01/2025,PED-1242,Oficina Curitiba,Ponta Grossa,PR,Carlos S.,Parafusadeira ,Ferramentas,5,-2160.27,10801.35,6,Muito Satisfeito,Cartão,
243,03-05-2025,PED-1243,Metalúrgica Sul,Maringá,PR,C. Silva,Furad.,Soldagem,28,-1389.08,38894.24,6,Muito Satisfeito,Boleto,
244,02-04-2025,PED-1244,Indústria Alpha,Maringá,PR,C. Silva,Parafusadeira ,Ferramentas,1,-3783.58,3783.58,10,Satisfeito,Boleto,
245,29/03/2025,PED-1245,Loja Ferramentas BR,Curitiba,PR,Carlos S.,Furad.,Medição,5,-2451.12,12255.6,10,Insatisfeito,PIX,
246,2025-03-10,PED-1246,Mercado Industrial,Araucária,PR,C. Silva,Soldadora,Energia,3,-2580.61,7741.83,10,Satisfeito,Boleto,
247,2025-06-04,PED-1247,Mercado Industrial,Londrina,PR,C. Silva,Furad.,Energia,27,-4566.95,123307.65,0,Neutro,Cartão,
248,08-03-2025,PED-1248,Mercado Industrial,Cascavel,PR,C. Silva,Parafusadeira ,Ferramentas,6,-2580.15,15480.9,10,Neutro,Boleto,
249,13/06/2025,PED-1249,Construtora Paraná,Araucária,PR,C. Silva,Soldadora,Medição,10,-2566.11,25661.1,10,Insatisfeito,Cartão,
250,2025-06-30,PED-1250,Loja Ferramentas BR,Araucária,PR,Carlos S.,Furad.,Energia,4,-923.73,3694.92,0,Insatisfeito,PIX,
251,13/04/2025,PED-1251,Oficina Curitiba,Cascavel,PR,Carlos S.,Soldadora,Elétrica,22,-2496.1,54914.2,0,Insatisfeito,Boleto,
252,25-04-2025,PED-1252,Mercado Industrial,Cascavel,PR,Carlos S.,Soldadora,Medição,8,-4299.06,34392.48,6,Insatisfeito,PIX,
253,20-06-2025,PED-1253,Oficina Curitiba,Londrina,PR,Carlos S.,Parafusadeira ,Energia,18,-3849.63,69293.34,6,Muito Satisfeito,Cartão,
254,15-05-2025,PED-1254,Loja Ferramentas BR,Maringá,PR,C. Silva,Parafusadeira ,Medição,2,-3208.3,6416.6,0,Muito Satisfeito,Boleto,
255,22-05-2025,PED-1255,Mercado Industrial,Londrina,PR,C. Silva,Soldadora,Elétrica,20,-941.92,18838.4,6,Satisfeito,Cartão,
256,2025-05-26,PED-1256,Loja Ferramentas BR,Cascavel,PR,C. Silva,Furad.,Energia,28,-282.83,7919.24,6,Insatisfeito,Cartão,
257,01-02-2025,PED-1257,Auto Center Prime,Curitiba,PR,Carlos S.,Soldadora,Soldagem,9,-2045.64,18410.76,10,Satisfeito,PIX,
258,29/03/2025,PED-1258,Metalúrgica Sul,Maringá,PR,C. Silva,Parafusadeira ,Elétrica,24,-4115.77,98778.48,0,Neutro,Cartão,
259,2025-01-04,PED-1259,Mercado Industrial,Curitiba,PR,Carlos S.,Soldadora,Medição,7,-1205.57,8438.99,6,Satisfeito,Cartão,
260,12-01-2025,PED-1260,Construtora Paraná,Curitiba,PR,C. Silva,Soldadora,Ferramentas,6,-2015.73,12094.38,10,Muito Satisfeito,PIX,
261,2025-06-13,PED-1261,Indústria Alpha,Cascavel,PR,C. Silva,Soldadora,Soldagem,3,-4250.43,12751.29,0,Satisfeito,PIX,
262,2025-05-03,PED-1262,Loja Ferramentas BR,Curitiba,PR,Carlos S.,Parafusadeira ,Energia,25,-4286.53,107163.25,10,Neutro,Boleto,
263,01/04/2025,PED-1263,Indústria Alpha,Maringá,PR,C. Silva,Furad.,Medição,16,-1784.64,28554.24,10,Muito Satisfeito,Boleto,
264,04/01/2025,PED-1264,Oficina Curitiba,Maringá,PR,C. Silva,Parafusadeira ,Soldagem,28,-529.74,14832.72,10,Insatisfeito,Boleto,
265,2025-03-31,PED-1265,Metalúrgica Sul,Cascavel,PR,C. Silva,Soldadora,Medição,24,-4470.94,107302.56,10,Muito Satisfeito,Boleto,
266,27/05/2025,PED-1266,Auto Center Prime,Maringá,PR,C. Silva,Parafusadeira ,Elétrica,30,-3325.0,99750.0,0,Muito Satisfeito,Boleto,
267,13-06-2025,PED-1267,Metalúrgica Sul,Araucária,PR,Carlos S.,Furad.,Soldagem,18,-2955.49,53198.82,0,Muito Satisfeito,Boleto,
268,08-04-2025,PED-1268,Metalúrgica Sul,Ponta Grossa,PR,Carlos S.,Parafusadeira ,Energia,4,-3545.88,14183.52,10,Satisfeito,Boleto,
269,2025-02-22,PED-1269,Auto Center Prime,Maringá,PR,C. Silva,Parafusadeira ,Ferramentas,16,-2889.31,46228.96,0,Neutro,Cartão,
270,2025-03-15,PED-1270,Indústria Alpha,Cascavel,PR,C. Silva,Furad.,Medição,29,-2588.18,75057.22,0,Satisfeito,Boleto,
271,2025-03-01,PED-1271,Auto Center Prime,Curitiba,PR,C. Silva,Furad.,Energia,24,-4932.66,118383.84,0,Satisfeito,Boleto,
272,2025-01-29,PED-1272,Auto Center Prime,Maringá,PR,C. Silva,Soldadora,Elétrica,9,-4389.98,39509.82,6,Neutro,Boleto,
273,07/01/2025,PED-1273,Construtora Paraná,Ponta Grossa,PR,C. Silva,Parafusadeira ,Ferramentas,2,-2257.36,4514.72,10,Muito Satisfeito,PIX,
274,27-06-2025,PED-1274,Cliente XPTO,Ponta Grossa,PR,Carlos S.,Soldadora,Soldagem,7,-3608.07,25256.49,0,Muito Satisfeito,Boleto,
275,24/02/2025,PED-1275,Oficina Curitiba,Maringá,PR,C. Silva,Soldadora,Elétrica,10,-672.99,6729.9,6,Satisfeito,Cartão,
276,11/06/2025,PED-1276,Auto Center Prime,Maringá,PR,Carlos S.,Furad.,Elétrica,7,-2908.13,20356.91,0,Muito Satisfeito,PIX,
277,2025-05-08,PED-1277,Construtora Paraná,Cascavel,PR,C. Silva,Parafusadeira ,Elétrica,17,-4155.98,70651.66,0,Muito Satisfeito,Cartão,
278,31-03-2025,PED-1278,Indústria Alpha,Maringá,PR,Carlos S.,Furad.,Energia,1,-2101.12,2101.12,6,Muito Satisfeito,Cartão,
279,2025-02-15,PED-1279,Construtora Paraná,Curitiba,PR,C. Silva,Parafusadeira ,Soldagem,11,-926.09,10186.99,10,Satisfeito,PIX,
280,02-02-2025,PED-1280,Construtora Paraná,Ponta Grossa,PR,Carlos S.,Furad.,Energia,25,-3943.87,98596.75,0,Neutro,PIX,
281,11-06-2025,PED-1281,Oficina Curitiba,Araucária,PR,Carlos S.,Furad.,Soldagem,19,-4775.36,90731.84,6,Muito Satisfeito,PIX,
282,17/02/2025,PED-1282,Oficina Curitiba,Araucária,PR,Carlos S.,Soldadora,Energia,29,-1995.12,57858.48,0,Satisfeito,Boleto,
283,2025-04-26,PED-1283,Cliente XPTO,Ponta Grossa,PR,C. Silva,Furad.,Ferramentas,15,-4044.89,60673.35,0,Insatisfeito,Boleto,
284,23/03/2025,PED-1284,Oficina Curitiba,Ponta Grossa,PR,Carlos S.,Furad.,Medição,17,-4375.74,74387.58,10,Insatisfeito,Boleto,
285,20/02/2025,PED-1285,Metalúrgica Sul,Curitiba,PR,C. Silva,Furad.,Energia,17,-983.23,16714.91,6,Muito Satisfeito,PIX,
286,2025-01-02,PED-1286,Indústria Alpha,Londrina,PR,Carlos S.,Furad.,Medição,13,-3040.6,39527.8,0,Neutro,Cartão,
287,15-05-2025,PED-1287,Indústria Alpha,Londrina,PR,Carlos S.,Furad.,Ferramentas,8,-1571.78,12574.24,6,Muito Satisfeito,Cartão,
288,09/02/2025,PED-1288,Cliente XPTO,Maringá,PR,Carlos S.,Soldadora,Energia,14,-4273.45,59828.3,0,Insatisfeito,Cartão,
289,2025-06-30,PED-1289,Mercado Industrial,Maringá,PR,C. Silva,Furad.,Elétrica,6,-4127.72,24766.32,0,Insatisfeito,Boleto,
290,2025-01-01,PED-1290,Metalúrgica Sul,Curitiba,PR,C. Silva,Soldadora,Ferramentas,5,-1803.81,9019.05,0,Muito Satisfeito,PIX,
291,26/06/2025,PED-1291,Loja Ferramentas BR,Londrina,PR,C. Silva,Parafusadeira ,Elétrica,27,-98.32,2654.64,0,Neutro,PIX,
292,20-02-2025,PED-1292,Loja Ferramentas BR,Curitiba,PR,Carlos S.,Parafusadeira ,Soldagem,21,-3852.18,80895.78,6,Muito Satisfeito,Cartão,
293,2025-01-24,PED-1293,Indústria Alpha,Cascavel,PR,Carlos S.,Parafusadeira ,Medição,12,-2587.67,31052.04,0,Satisfeito,Boleto,
294,27/05/2025,PED-1294,Metalúrgica Sul,Maringá,PR,Carlos S.,Furad.,Ferramentas,3,-1756.85,5270.55,10,Insatisfeito,Cartão,
295,22-03-2025,PED-1295,Metalúrgica Sul,Araucária,PR,Carlos S.,Parafusadeira ,Medição,12,-2909.43,34913.16,0,Muito Satisfeito,PIX,
296,29-03-2025,PED-1296,Loja Ferramentas BR,Curitiba,PR,C. Silva,Furad.,Elétrica,14,-1543.26,21605.64,0,Insatisfeito,Cartão,
297,13/03/2025,PED-1297,Construtora Paraná,Cascavel,PR,Carlos S.,Soldadora,Energia,2,-642.54,1285.08,6,Muito Satisfeito,Boleto,
298,2025-05-11,PED-1298,Oficina Curitiba,Maringá,PR,C. Silva,Parafusadeira ,Energia,2,-3353.8,6707.6,10,Insatisfeito,Cartão,
299,2025-03-17,PED-1299,Mercado Industrial,Curitiba,PR,Carlos S.,Parafusadeira ,Elétrica,1,-1554.33,1554.33,6,Satisfeito,Boleto,
300,09/03/2025,PED-1300,Cliente XPTO,Ponta Grossa,PR,Carlos S.,Parafusadeira ,Medição,7,-3172.19,22205.33,0,Satisfeito,PIX,
